zone,latitude,longitude,bare,built,crops,flooded_vegetation,grass,shrub_and_scrub,snow_and_ice,trees,water,temperature,humidity,precipitation,wind_speed,BCCMASS,CH4_column_volume_mixing_ratio_dry_air_bias_corrected,CO_column_number_density,DUCMASS,NO2_column_number_density,O3_column_number_density,SO2_column_number_density,absorbing_aerosol_index,tropospheric_HCHO_column_number_density,Health_Risk_Index,Urban_Heat_Index,Real_Estate_Risk,Green_Score
0,18.68485315066851,84.33951127112498,0.2337594867982692,0.24733299088414848,0.520967577174288,0.2620405062466958,0.21880605593641497,0.4707149925916235,0.24336158370053076,0.23039306197013987,0.07480462049063133,0.5165955493140328,0.3622334585138321,0.0,0.4437869457071962,0.44045835981960485,0.7598809827565871,0.5904643982173231,0.43122584643622286,0.15760753203926386,0.6949906475744076,0.44888023819604966,0.33041178213535943,0.31565327868319915,0.38272445903937385,2.2471299433390803,0.2629344356552765,0.27498134628431914
1,18.653028666085397,83.620190049562,0.23075249107828733,0.23487723075176156,0.4104440212119385,0.1907342921848779,0.3839499976675454,0.422638791894945,0.2749098917018034,0.40128001161076493,0.016467766384641043,0.6987927197093242,0.7183408906328842,0.0,0.5848595813886653,0.0,0.7070518840858255,0.5827435704558288,0.0,0.4717498273731455,0.31117268777008217,0.4666072973615242,0.3829774916726641,0.5597202154004074,0.508390246142147,3.0468350127531862,0.4228325490453823,0.40035276348463505
2,18.2880920351022,83.861722595397,0.20107972776784275,0.4140686504419926,0.25297224576065713,0.2664220711135941,0.26527133062314767,0.3433671453378958,0.38164462855639997,0.3635121996631005,0.08378809894481866,0.8227471689138667,0.7689132446856848,0.0,0.5362750798057818,0.45518913552454027,0.7575830445907674,0.7101706128287189,0.2894817844636503,0.4276231252117479,0.3577763221724569,0.28069590287992147,0.449069517343027,0.30907496438901527,0.45168158160113187,3.3412432249832222,0.38083406355824895,0.33001092808607374
3,19.016028649181287,84.62481156519043,0.17784677534424756,0.3253866993168785,0.37881225586016665,0.15049861756542474,0.19834815520613913,0.3241870802862541,0.307332051039182,0.30919541813024415,0.11020926345127245,0.10618991033812275,0.0,0.0,0.2307692378230347,0.8978004889124304,0.6923061062388144,0.8592781825942499,0.8807691804149418,0.17136967136123454,0.7366567872564602,0.49326625179355216,0.6286156678223268,0.27532311192269554,0.4178505321125551,2.1649887287015557,0.29874205108205865,0.2789395716842146
4,18.687757345009334,83.98039031201839,0.16632319172264362,0.3691541825527731,0.5416255294765808,0.18624439957657637,0.31686381336408065,0.48579109873683596,0.24536292586859743,0.2986264117227458,0.018152582519116573,0.5830382085524385,0.5938987670540748,0.0,0.5514511762053435,0.41140437830116117,0.862461785693657,0.5494400598156791,0.40278086975837174,0.3012111455694042,0.5068043661970189,0.3046217794057174,0.38626283994289495,0.42138862014519934,0.4229896331824978,2.7498557164581423,0.3158229431169719,0.34153056961796424
5,18.443786495001092,83.6986971759639,0.16728633618742256,0.16868791931525062,0.2923159211525431,0.27609219401509505,0.5163817465566337,0.3166511979758064,0.47852027435269273,0.43439197043991395,0.028104442567106466,0.784701335546927,0.720322915327198,0.0,0.5789473635947655,0.3309517012244531,0.7113821716984541,0.6480067546436409,0.1776256718918593,0.5745020086465542,0.31197276064465773,0.2165103378702327,0.36578813368024093,0.3534330155750518,0.47360915252740643,2.7645346175911363,0.3859416895473971,0.43544074878210837
6,18.826531311588074,83.80828559889295,0.16188962527025824,0.14101272233498183,0.3068567187014227,0.10797124417292175,0.4064971750021211,0.5163090067795565,0.1775432338484076,0.5476386523907266,0.011274327631459169,0.4596498780996688,0.5483039302193868,0.0,0.4965309225914026,0.015545589170103699,0.6970447323288489,0.3636709207629397,0.015219735756572572,0.29461705375347025,0.4740259682342608,0.27019052292891993,0.33825460089693926,0.4558591449157056,0.37213838493552776,1.8772079370049346,0.25656822822240744,0.49903028005191097
7,18.20895756904748,83.68606394501394,0.15079660856576882,0.37857503121771124,0.3213995368475035,0.1885835958147533,0.2638623538710762,0.2688960424310621,0.3734556850299217,0.42042701652226877,0.05020152213320249,0.8698475433120773,0.8540334339360826,0.0,0.3983867504790141,0.38641846679279723,0.7381846283760037,0.6187219014630293,0.20739533757205922,0.6157990071341122,0.13486579036770888,0.4125057806155522,0.36228851617792723,0.34966141324156735,0.5539371143313041,3.8559293221567637,0.507366243995264,0.3431514229086697
8,18.85688165172413,84.47244156127823,0.13654361764355077,0.22647607413116033,0.3695683005440924,0.08766292249974643,0.15751316698559728,0.46257196747457663,0.15728538937739295,0.3275263043839662,0.1153237425900832,0.07169753501487026,0.05183958859534838,0.0,0.32574565697660673,0.5151592104789451,0.7228194000799985,0.7559889213431581,0.5030965953436288,0.1403477257290191,0.678736258561011,0.2981080340281186,0.5289585459061428,0.29244791896623573,0.3430312351066572,1.4789832599085673,0.2049014878991772,0.3035314957825776
9,18.368570071277922,84.04260114836868,0.12427528668820287,0.32743463322187805,0.42891551889525054,0.37339496038330805,0.431938509870467,0.3897418739356429,0.2683865093057582,0.26824113501401337,0.08203380063661937,0.7545425240735494,0.6685836288160728,0.0,0.6147137761046308,0.6374962856530288,0.6512994606039222,0.7847955419746172,0.5070883087706042,0.24480312310918767,0.522232735405823,0.3311304462798612,0.27565130668149607,0.22163145284347108,0.35508540591656745,2.7231483393773503,0.2872276220829278,0.34165049525527535
10,18.688786828428935,84.16406861453841,0.12034209865758319,0.11010301910261804,0.16113190705036162,0.11829364806160422,0.43412602535874156,0.5603499108369053,0.1656053625413994,0.4657923822562133,0.011024289536615616,0.6731196732560238,0.5032935769199406,0.0,0.4832484320930838,0.4404583598196048,0.8532743454956692,0.439183420419702,0.43122584643622286,0.28295993809798675,0.5795523588578325,0.42778546815156443,0.34579419614976803,0.37341724113537544,0.4467539043987747,2.211026808987198,0.2918362133149863,0.47520398090311017
11,18.345647080051073,83.53055059830574,0.08281744302192595,0.20613056244389366,0.41733941495806703,0.14579762598736765,0.27445698148347647,0.37897871814929124,0.19968414125595643,0.49529826444100755,0.01277596640374664,0.7569505582116528,0.8049740361672381,0.0,0.17964070620815753,0.3864184667927972,0.6877574117184994,0.5191543355673494,0.2073953375720592,0.8410911318799406,0.10488705987056088,0.36501856464827026,0.3355394836684976,0.5415228199473582,0.617047452857007,3.6050523562756207,0.5712772478232301,0.4057819702954049
12,18.494651530167253,83.91805673357638,0.15905022706519764,0.15040877546511122,0.31186278296765213,0.22476075747895827,0.4905187064585858,0.532263250184554,0.2677467044651846,0.4270536827666038,0.018655263048258576,0.752214540347846,0.6788323251934374,0.0,0.6153846189115173,0.42743227833649766,0.766003789325024,0.7103657030427292,0.3349959009723604,0.3810773079361936,0.4263109402106859,0.2943966573031732,0.5538626682494651,0.20608330610762374,0.44933694505538074,2.407190468570327,0.308939406252071,0.46713510335778846
13,18.523300542357255,84.16847413584638,0.15705857884487553,0.22631866274540297,0.525961998200698,0.33159652279494595,0.35976666485114195,0.42168980378944826,0.24908029679404164,0.20814839328347945,0.08820693254648328,0.7197643224946891,0.52895380503132,0.0,0.5025640802270562,0.5172526283495547,0.6521657350898538,0.6635708689777601,0.4607927548332125,0.13405674733838305,0.581708521203767,0.35009660714787766,0.17624207509354692,0.23447327049059394,0.30670903560704194,2.1919787161294804,0.21732108836263542,0.29634215685497195
14,18.633269194871918,83.79324085577313,0.11618491605564234,0.08598049836555022,0.06561872156154769,0.12207567442486728,0.5613258827518154,0.3059935381694419,0.18619504394684516,0.7357143919451756,0.006760887297941485,0.6785488181371457,0.6787671917040367,0.0,0.6124172591808091,0.0,0.6453574460169975,0.3804609661898368,0.0,0.2952903757214938,0.396406485633348,0.36220013024314596,0.399627831040495,0.3250361899406193,0.3958104616689903,2.070371260041503,0.2735013266068007,0.5974536684320209
