zone,latitude,longitude,bare,built,crops,flooded_vegetation,grass,shrub_and_scrub,snow_and_ice,trees,water,temperature,humidity,precipitation,wind_speed,BCCMASS,CH4_column_volume_mixing_ratio_dry_air_bias_corrected,CO_column_number_density,DUCMASS,NO2_column_number_density,O3_column_number_density,SO2_column_number_density,absorbing_aerosol_index,tropospheric_HCHO_column_number_density,Health_Risk_Index,Urban_Heat_Index,Real_Estate_Risk,Green_Score,H,E,V,CRI,Risk_Category
0,18.68485315066851,84.33951127112498,0.2337594867982692,0.2473329908841484,0.520967577174288,0.2620405062466958,0.2188060559364149,0.4707149925916235,0.2433615837005307,0.2303930619701398,0.0748046204906313,0.5165955493140328,0.3622334585138321,0.0,0.4437869457071962,0.4404583598196048,0.7598809827565871,0.5904643982173231,0.4312258464362228,0.1576075320392638,0.6949906475744076,0.4488802381960496,0.3304117821353594,0.3156532786831991,0.3827244590393738,2.2471299433390803,0.2629344356552765,0.2749813462843191,0.30981841036272095,0.28039837739424794,0.852317519120097,0.0740430214838116,Moderate
1,18.6530286660854,83.620190049562,0.2307524910782873,0.2348772307517615,0.4104440212119385,0.1907342921848779,0.3839499976675454,0.422638791894945,0.2749098917018034,0.4012800116107649,0.016467766384641,0.6987927197093242,0.7183408906328842,0.0,0.5848595813886653,0.0,0.7070518840858255,0.5827435704558288,0.0,0.4717498273731455,0.3111726877700821,0.4666072973615242,0.3829774916726641,0.5597202154004074,0.508390246142147,3.0468350127531862,0.4228325490453823,0.400352763484635,0.4032052305250632,0.2639649725582904,1.1619378357434276,0.1236674346741376,Very High
2,18.2880920351022,83.861722595397,0.2010797277678427,0.4140686504419926,0.2529722457606571,0.2664220711135941,0.2652713306231476,0.3433671453378958,0.3816446285563999,0.3635121996631005,0.0837880989448186,0.8227471689138667,0.7689132446856848,0.0,0.5362750798057818,0.4551891355245402,0.7575830445907674,0.7101706128287189,0.2894817844636503,0.4276231252117479,0.3577763221724569,0.2806959028799214,0.449069517343027,0.3090749643890152,0.4516815816011318,3.3412432249832222,0.3808340635582489,0.3300109280860737,0.44389307010392176,0.301167884743289,1.226211320038462,0.16392769973371507,Very High
3,19.016028649181287,84.62481156519043,0.1778467753442475,0.3253866993168785,0.3788122558601666,0.1504986175654247,0.1983481552061391,0.3241870802862541,0.307332051039182,0.3091954181302441,0.1102092634512724,0.1061899103381227,0.0,0.0,0.2307692378230347,0.8978004889124304,0.6923061062388144,0.8592781825942499,0.8807691804149418,0.1713696713612345,0.7366567872564602,0.4932662517935521,0.6286156678223268,0.2753231119226955,0.4178505321125551,2.164988728701556,0.2987420510820586,0.2789395716842146,0.20373395423050913,0.2834269541257859,0.8484912845034791,0.04899502117850779,Moderate
4,18.68775734500933,83.98039031201839,0.1663231917226436,0.3691541825527731,0.5416255294765808,0.1862443995765763,0.3168638133640806,0.4857910987368359,0.2453629258685974,0.2986264117227458,0.0181525825191165,0.5830382085524385,0.5938987670540748,0.0,0.5514511762053435,0.4114043783011611,0.862461785693657,0.5494400598156791,0.4027808697583717,0.3012111455694042,0.5068043661970189,0.3046217794057174,0.3862628399428949,0.4213886201451993,0.4229896331824978,2.7498557164581423,0.3158229431169719,0.3415305696179642,0.3624542657953792,0.32092931668514035,1.0231640998720397,0.11901669890601675,Very High
5,18.44378649500109,83.6986971759639,0.1672863361874225,0.1686879193152506,0.2923159211525431,0.276092194015095,0.5163817465566337,0.3166511979758064,0.4785202743526927,0.4343919704399139,0.0281044425671064,0.784701335546927,0.720322915327198,0.0,0.5789473635947655,0.3309517012244531,0.7113821716984541,0.6480067546436409,0.1776256718918593,0.5745020086465542,0.3119727606446577,0.2165103378702327,0.3657881336802409,0.3534330155750518,0.4736091525274064,2.7645346175911363,0.3859416895473971,0.4354407487821083,0.4243575001190794,0.2056452604947954,1.052448309319572,0.09184412096306557,High
6,18.826531311588077,83.80828559889295,0.1618896252702582,0.1410127223349818,0.3068567187014227,0.1079712441729217,0.4064971750021211,0.5163090067795565,0.1775432338484076,0.5476386523907266,0.0112743276314591,0.4596498780996688,0.5483039302193868,0.0,0.4965309225914026,0.0155455891701036,0.6970447323288489,0.3636709207629397,0.0152197357565725,0.2946170537534702,0.4740259682342608,0.2701905229289199,0.3382546008969392,0.4558591449157056,0.3721383849355277,1.8772079370049344,0.2565682282224074,0.4990302800519109,0.304852068127569,0.2060456557305475,0.7134283527149818,0.04481289207972092,Low
7,18.20895756904748,83.68606394501394,0.1507966085657688,0.3785750312177112,0.3213995368475035,0.1885835958147533,0.2638623538710762,0.2688960424310621,0.3734556850299217,0.4204270165222687,0.0502015221332024,0.8698475433120773,0.8540334339360826,0.0,0.3983867504790141,0.3864184667927972,0.7381846283760037,0.6187219014630293,0.2073953375720592,0.6157990071341122,0.1348657903677088,0.4125057806155522,0.3622885161779272,0.3496614132415673,0.5539371143313041,3.855929322156764,0.507366243995264,0.3431514229086697,0.41308931632501145,0.29293209543528603,1.4455117488877367,0.17491721226128049,Very High
8,18.85688165172413,84.47244156127823,0.1365436176435507,0.2264760741311603,0.3695683005440924,0.0876629224997464,0.1575131669855972,0.4625719674745766,0.1572853893773929,0.3275263043839662,0.1153237425900832,0.0716975350148702,0.0518395885953483,0.0,0.3257456569766067,0.5151592104789451,0.7228194000799985,0.7559889213431581,0.5030965953436288,0.1403477257290191,0.678736258561011,0.2981080340281186,0.5289585459061428,0.2924479189662357,0.3430312351066572,1.4789832599085673,0.2049014878991772,0.3035314957825776,0.19245010108101096,0.2360978179873977,0.5915346200168108,0.026877587477444724,Low
9,18.36857007127792,84.04260114836868,0.1242752866882028,0.327434633221878,0.4289155188952505,0.373394960383308,0.431938509870467,0.3897418739356429,0.2683865093057582,0.2682411350140133,0.0820338006366193,0.7545425240735494,0.6685836288160728,0.0,0.6147137761046308,0.6374962856530288,0.6512994606039222,0.7847955419746172,0.5070883087706042,0.2448031231091876,0.522232735405823,0.3311304462798612,0.275651306681496,0.221631452843471,0.3550854059165674,2.7231483393773503,0.2872276220829278,0.3416504952552753,0.40443577377929024,0.2766395079705051,0.98225913907089,0.10989801425586537,High
10,18.68878682842893,84.16406861453841,0.1203420986575831,0.110103019102618,0.1611319070503616,0.1182936480616042,0.4341260253587415,0.5603499108369053,0.1656053625413994,0.4657923822562133,0.0110242895366156,0.6731196732560238,0.5032935769199406,0.0,0.4832484320930838,0.4404583598196048,0.8532743454956692,0.439183420419702,0.4312258464362228,0.2829599380979867,0.5795523588578325,0.4277854681515644,0.345794196149768,0.3734172411353754,0.4467539043987747,2.211026808987198,0.2918362133149863,0.4752039809031101,0.3677444276253775,0.14801767596191903,0.8528564490283556,0.04642325835941067,Low
11,18.345647080051076,83.53055059830574,0.0828174430219259,0.2061305624438936,0.417339414958067,0.1457976259873676,0.2744569814834764,0.3789787181492912,0.1996841412559564,0.4952982644410075,0.0127759664037466,0.7569505582116528,0.8049740361672381,0.0,0.1796407062081575,0.3864184667927972,0.6877574117184994,0.5191543355673494,0.2073953375720592,0.8410911318799406,0.1048870598705608,0.3650185646482702,0.3355394836684976,0.5415228199473582,0.617047452857007,3.6050523562756207,0.5712772478232301,0.4057819702954049,0.3301212054388269,0.23329101965803142,1.4020119405605944,0.10797498589790903,High
12,18.494651530167253,83.91805673357638,0.1590502270651976,0.1504087754651112,0.3118627829676521,0.2247607574789582,0.4905187064585858,0.532263250184554,0.2677467044651846,0.4270536827666038,0.0186552630482585,0.752214540347846,0.6788323251934374,0.0,0.6153846189115173,0.4274322783364976,0.766003789325024,0.7103657030427292,0.3349959009723604,0.3810773079361936,0.4263109402106859,0.2943966573031732,0.5538626682494651,0.2060833061076237,0.4493369450553807,2.407190468570327,0.308939406252071,0.4671351033577884,0.4595138195365503,0.19891700677410065,0.9169662895078857,0.08381540781724098,Moderate
13,18.52330054235725,84.16847413584638,0.1570585788448755,0.2263186627454029,0.525961998200698,0.3315965227949459,0.3597666648511419,0.4216898037894482,0.2490802967940416,0.2081483932834794,0.0882069325464832,0.7197643224946891,0.52895380503132,0.0,0.5025640802270562,0.5172526283495547,0.6521657350898538,0.6635708689777601,0.4607927548332125,0.134056747338383,0.581708521203767,0.3500966071478776,0.1762420750935469,0.2344732704905939,0.3067090356070419,2.1919787161294804,0.2173210883626354,0.2963421568549719,0.3516905278125274,0.2567671130902721,0.7941072310686907,0.07170991709310578,Moderate
14,18.63326919487192,83.79324085577313,0.1161849160556423,0.0859804983655502,0.0656187215615476,0.1220756744248672,0.5613258827518154,0.3059935381694419,0.1861950439468451,0.7357143919451756,0.0067608872979414,0.6785488181371457,0.6787671917040367,0.0,0.6124172591808091,0.0,0.6453574460169975,0.3804609661898368,0.0,0.2952903757214938,0.396406485633348,0.3622001302431459,0.399627831040495,0.3250361899406193,0.3958104616689903,2.070371260041503,0.2735013266068007,0.5974536684320209,0.40597366348540453,0.14500045479396978,0.7743904611582052,0.04558555218935758,Low
